event_sub_title,market_subtitle,market_result
"On Nov 25, 2024",83° to 84°,no
"On Nov 25, 2024",85° to 86°,yes
"On Nov 25, 2024",87° to 88°,no
"On Nov 25, 2024",89° or above,no
"On Nov 26, 2024",64° or below,no
"On Nov 26, 2024",65° to 66°,yes
"On Nov 26, 2024",67° to 68°,no
"On Nov 26, 2024",69° to 70°,no
"On Nov 26, 2024",71° to 72°,no
"On Nov 26, 2024",73° or above,no
"On Nov 27, 2024",77° or below,no
"On Nov 27, 2024",78° to 79°,no
"On Nov 27, 2024",80° to 81°,yes
"On Nov 27, 2024",82° to 83°,no
"On Nov 27, 2024",84° to 85°,no
"On Nov 27, 2024",86° or above,no
"On Nov 28, 2024",57° or below,no
"On Nov 28, 2024",58° to 59°,no
"On Nov 28, 2024",60° to 61°,no
"On Nov 28, 2024",62° to 63°,yes
"On Nov 28, 2024",64° to 65°,no
"On Nov 28, 2024",66° or above,no
"On Nov 29, 2024",57° or below,no
"On Nov 29, 2024",58° to 59°,no
"On Nov 29, 2024",60° to 61°,yes
"On Nov 29, 2024",62° to 63°,no
"On Nov 29, 2024",64° to 65°,no
"On Nov 29, 2024",66° or above,no
"On Nov 30, 2024",60° or below,no
"On Nov 30, 2024",61° to 62°,no
"On Nov 30, 2024",63° to 64°,no
"On Nov 30, 2024",65° to 66°,yes
"On Nov 30, 2024",67° to 68°,no
"On Nov 30, 2024",69° or above,no
"On Dec 1, 2024",63° or below,no
"On Dec 1, 2024",64° to 65°,no
"On Dec 1, 2024",66° to 67°,no
"On Dec 1, 2024",68° to 69°,no
"On Dec 1, 2024",70° to 71°,yes
"On Dec 1, 2024",72° or above,no
"On Dec 2, 2024",63° or below,no
"On Dec 2, 2024",64° to 65°,no
"On Dec 2, 2024",66° to 67°,no
"On Dec 2, 2024",68° to 69°,yes
"On Dec 2, 2024",70° to 71°,no
"On Dec 2, 2024",72° or above,no
"On Dec 3, 2024",60° or below,no
"On Dec 3, 2024",61° to 62°,no
"On Dec 3, 2024",63° to 64°,no
"On Dec 3, 2024",65° to 66°,yes
"On Dec 3, 2024",67° to 68°,no
"On Dec 3, 2024",69° or above,no
"On Dec 4, 2024",59° or below,yes
"On Dec 4, 2024",60° to 61°,no
"On Dec 4, 2024",62° to 63°,no
"On Dec 4, 2024",64° to 65°,no
"On Dec 4, 2024",66° to 67°,no
"On Dec 4, 2024",68° or above,no
"On Dec 5, 2024",60° or below,no
"On Dec 5, 2024",61° to 62°,yes
"On Dec 5, 2024",63° to 64°,no
"On Dec 5, 2024",65° to 66°,no
"On Dec 5, 2024",67° to 68°,no
"On Dec 5, 2024",69° or above,no
"On Dec 6, 2024",48° or below,no
"On Dec 6, 2024",49° to 50°,no
"On Dec 6, 2024",51° to 52°,no
"On Dec 6, 2024",53° to 54°,yes
"On Dec 6, 2024",55° to 56°,no
"On Dec 6, 2024",57° or above,no
"On Dec 7, 2024",46° or below,no
"On Dec 7, 2024",47° to 48°,yes
"On Dec 7, 2024",49° to 50°,no
"On Dec 7, 2024",51° to 52°,no
"On Dec 7, 2024",53° to 54°,no
"On Dec 7, 2024",55° or above,no
"On Dec 8, 2024",60° or below,no
"On Dec 8, 2024",61° to 62°,yes
"On Dec 8, 2024",63° to 64°,no
"On Dec 8, 2024",65° to 66°,no
"On Dec 8, 2024",67° to 68°,no
"On Dec 8, 2024",69° or above,no
"On Dec 9, 2024",77° or below,no
"On Dec 9, 2024",78° to 79°,no
"On Dec 9, 2024",80° to 81°,no
"On Dec 9, 2024",82° to 83°,no
"On Dec 9, 2024",84° to 85°,yes
"On Dec 9, 2024",86° or above,no
"On Dec 10, 2024",55° or below,no
"On Dec 10, 2024",56° to 57°,no
"On Dec 10, 2024",58° to 59°,no
"On Dec 10, 2024",60° to 61°,no
"On Dec 10, 2024",62° to 63°,yes
"On Dec 10, 2024",64° or above,no
"On Dec 11, 2024",58° or below,no
"On Dec 11, 2024",59° to 60°,no
"On Dec 11, 2024",61° to 62°,no
"On Dec 11, 2024",63° to 64°,yes
"On Dec 11, 2024",65° to 66°,no
"On Dec 11, 2024",67° or above,no
"On Dec 12, 2024",61° or below,no
"On Dec 12, 2024",62° to 63°,no
"On Dec 12, 2024",64° to 65°,no
"On Dec 12, 2024",66° to 67°,yes
"On Dec 12, 2024",68° to 69°,no
"On Dec 12, 2024",70° or above,no
"On Dec 13, 2024",64° or below,no
"On Dec 13, 2024",65° to 66°,no
"On Dec 13, 2024",67° to 68°,yes
"On Dec 13, 2024",69° to 70°,no
"On Dec 13, 2024",71° to 72°,no
"On Dec 13, 2024",73° or above,no
"On Dec 14, 2024",71° or below,no
"On Dec 14, 2024",72° to 73°,no
"On Dec 14, 2024",74° to 75°,no
"On Dec 14, 2024",76° to 77°,no
"On Dec 14, 2024",78° to 79°,no
"On Dec 14, 2024",80° or above,yes
"On Dec 15, 2024",72° or below,no
"On Dec 15, 2024",73° to 74°,no
"On Dec 15, 2024",75° to 76°,no
"On Dec 15, 2024",77° to 78°,no
"On Dec 15, 2024",79° to 80°,no
"On Dec 15, 2024",81° or above,yes
"On Dec 16, 2024",72° or below,no
"On Dec 16, 2024",73° to 74°,no
"On Dec 16, 2024",75° to 76°,no
"On Dec 16, 2024",77° to 78°,no
"On Dec 16, 2024",79° to 80°,no
"On Dec 16, 2024",81° or above,yes
"On Dec 17, 2024",73° or below,no
"On Dec 17, 2024",74° to 75°,no
"On Dec 17, 2024",76° to 77°,no
"On Dec 17, 2024",78° to 79°,no
"On Dec 17, 2024",80° to 81°,yes
"On Dec 17, 2024",82° or above,no
"On Dec 18, 2024",63° or below,no
"On Dec 18, 2024",64° to 65°,no
"On Dec 18, 2024",66° to 67°,no
"On Dec 18, 2024",68° to 69°,no
"On Dec 18, 2024",70° to 71°,yes
"On Dec 18, 2024",72° or above,no
"On Dec 19, 2024",61° or below,no
"On Dec 19, 2024",62° to 63°,no
"On Dec 19, 2024",64° to 65°,no
"On Dec 19, 2024",66° to 67°,no
"On Dec 19, 2024",68° to 69°,yes
"On Dec 19, 2024",70° or above,no
"On Dec 20, 2024",61° or below,no
"On Dec 20, 2024",62° to 63°,no
"On Dec 20, 2024",64° to 65°,no
"On Dec 20, 2024",66° to 67°,no
"On Dec 20, 2024",68° to 69°,yes
"On Dec 20, 2024",70° or above,no
"On Dec 21, 2024",58° or below,no
"On Dec 21, 2024",59° to 60°,no
"On Dec 21, 2024",61° to 62°,no
"On Dec 21, 2024",63° to 64°,yes
"On Dec 21, 2024",65° to 66°,no
"On Dec 21, 2024",67° or above,no
"On Dec 22, 2024",61° or below,no
"On Dec 22, 2024",62° to 63°,no
"On Dec 22, 2024",64° to 65°,no
"On Dec 22, 2024",66° to 67°,no
"On Dec 22, 2024",68° to 69°,no
"On Dec 22, 2024",70° or above,yes
"On Dec 23, 2024",70° or below,no
"On Dec 23, 2024",71° to 72°,no
"On Dec 23, 2024",73° to 74°,no
"On Dec 23, 2024",75° to 76°,no
"On Dec 23, 2024",77° to 78°,yes
"On Dec 23, 2024",79° or above,no
"On Dec 24, 2024",72° or below,no
"On Dec 24, 2024",73° to 74°,no
"On Dec 24, 2024",75° to 76°,no
"On Dec 24, 2024",77° to 78°,yes
"On Dec 24, 2024",79° to 80°,no
"On Dec 24, 2024",81° or above,no
"On Dec 25, 2024",63° or below,yes
"On Dec 25, 2024",64° to 65°,no
"On Dec 25, 2024",66° to 67°,no
"On Dec 25, 2024",68° to 69°,no
"On Dec 25, 2024",70° to 71°,no
"On Dec 25, 2024",72° or above,no
"On Dec 26, 2024",70° or below,no
"On Dec 26, 2024",71° to 72°,no
"On Dec 26, 2024",73° to 74°,no
"On Dec 26, 2024",75° to 76°,no
"On Dec 26, 2024",77° to 78°,no
"On Dec 26, 2024",79° or above,yes
"On Dec 27, 2024",72° or below,no
"On Dec 27, 2024",73° to 74°,no
"On Dec 27, 2024",75° to 76°,no
"On Dec 27, 2024",77° to 78°,no
"On Dec 27, 2024",79° to 80°,no
"On Dec 27, 2024",81° or above,yes
"On Dec 28, 2024",75° or below,no
"On Dec 28, 2024",76° to 77°,no
"On Dec 28, 2024",78° to 79°,no
"On Dec 28, 2024",80° to 81°,no
"On Dec 28, 2024",82° to 83°,yes
"On Dec 28, 2024",84° or above,no
"On Dec 29, 2024",69° or below,no
"On Dec 29, 2024",70° to 71°,no
"On Dec 29, 2024",72° to 73°,no
"On Dec 29, 2024",74° to 75°,no
"On Dec 29, 2024",76° to 77°,yes
"On Dec 29, 2024",78° or above,no
"On Dec 30, 2024",76° or below,no
"On Dec 30, 2024",77° to 78°,no
"On Dec 30, 2024",79° to 80°,no
"On Dec 30, 2024",81° to 82°,no
"On Dec 30, 2024",83° to 84°,no
"On Dec 30, 2024",85° or above,yes
"On Dec 31, 2024",61° or below,no
"On Dec 31, 2024",62° to 63°,no
"On Dec 31, 2024",64° to 65°,no
"On Dec 31, 2024",66° to 67°,no
"On Dec 31, 2024",68° to 69°,yes
"On Dec 31, 2024",70° or above,no
"On Jan 1, 2025",56° or below,no
"On Jan 1, 2025",57° to 58°,no
"On Jan 1, 2025",59° to 60°,yes
"On Jan 1, 2025",61° to 62°,no
"On Jan 1, 2025",63° to 64°,no
"On Jan 1, 2025",65° or above,no
"On Jan 2, 2025",61° or below,no
"On Jan 2, 2025",62° to 63°,yes
"On Jan 2, 2025",64° to 65°,no
"On Jan 2, 2025",66° to 67°,no
"On Jan 2, 2025",68° to 69°,no
"On Jan 2, 2025",70° or above,no
"On Jan 3, 2025",63° or below,no
"On Jan 3, 2025",64° to 65°,no
"On Jan 3, 2025",66° to 67°,no
"On Jan 3, 2025",68° to 69°,yes
"On Jan 3, 2025",70° to 71°,no
"On Jan 3, 2025",72° or above,no
"On Jan 4, 2025",70° or below,no
"On Jan 4, 2025",71° to 72°,no
"On Jan 4, 2025",73° to 74°,yes
"On Jan 4, 2025",75° to 76°,no
"On Jan 4, 2025",77° to 78°,no
"On Jan 4, 2025",79° or above,no
"On Jan 5, 2025",67° or below,no
"On Jan 5, 2025",68° to 69°,no
"On Jan 5, 2025",70° to 71°,no
"On Jan 5, 2025",72° to 73°,no
"On Jan 5, 2025",74° to 75°,no
"On Jan 5, 2025",76° or above,yes
"On Jan 6, 2025",43° or below,no
"On Jan 6, 2025",44° to 45°,no
"On Jan 6, 2025",46° to 47°,yes
"On Jan 6, 2025",48° to 49°,no
"On Jan 6, 2025",50° to 51°,no
"On Jan 6, 2025",52° or above,no
"On Jan 7, 2025",43° or below,no
"On Jan 7, 2025",44° to 45°,no
"On Jan 7, 2025",46° to 47°,no
"On Jan 7, 2025",48° to 49°,yes
"On Jan 7, 2025",50° to 51°,no
"On Jan 7, 2025",52° or above,no
"On Jan 8, 2025",36° or below,no
"On Jan 8, 2025",37° to 38°,no
"On Jan 8, 2025",39° to 40°,no
"On Jan 8, 2025",41° to 42°,yes
"On Jan 8, 2025",43° to 44°,no
"On Jan 8, 2025",45° or above,no
"On Jan 9, 2025",35° or below,no
"On Jan 9, 2025",36° to 37°,no
"On Jan 9, 2025",38° to 39°,no
"On Jan 9, 2025",40° to 41°,yes
"On Jan 9, 2025",42° to 43°,no
"On Jan 9, 2025",44° or above,no
"On Jan 10, 2025",39° or below,no
"On Jan 10, 2025",40° to 41°,no
"On Jan 10, 2025",42° to 43°,no
"On Jan 10, 2025",44° to 45°,yes
"On Jan 10, 2025",46° to 47°,no
"On Jan 10, 2025",48° or above,no
"On Jan 11, 2025",50° or below,no
"On Jan 11, 2025",51° to 52°,no
"On Jan 11, 2025",53° to 54°,no
"On Jan 11, 2025",55° to 56°,no
"On Jan 11, 2025",57° to 58°,no
"On Jan 11, 2025",59° or above,yes
"On Jan 12, 2025",54° or below,no
"On Jan 12, 2025",55° to 56°,no
"On Jan 12, 2025",57° to 58°,no
"On Jan 12, 2025",59° to 60°,no
"On Jan 12, 2025",61° to 62°,no
"On Jan 12, 2025",63° or above,yes
"On Jan 13, 2025",49° or below,no
"On Jan 13, 2025",50° to 51°,no
"On Jan 13, 2025",52° to 53°,no
"On Jan 13, 2025",54° to 55°,no
"On Jan 13, 2025",56° to 57°,no
"On Jan 13, 2025",58° or above,yes
"On Jan 14, 2025",52° or below,no
"On Jan 14, 2025",53° to 54°,no
"On Jan 14, 2025",55° to 56°,yes
"On Jan 14, 2025",57° to 58°,no
"On Jan 14, 2025",59° to 60°,no
"On Jan 14, 2025",61° or above,no
"On Jan 15, 2025",50° or below,no
"On Jan 15, 2025",51° to 52°,no
"On Jan 15, 2025",53° to 54°,no
"On Jan 15, 2025",55° to 56°,no
"On Jan 15, 2025",57° to 58°,no
"On Jan 15, 2025",59° or above,yes
"On Jan 16, 2025",60° or below,no
"On Jan 16, 2025",61° to 62°,no
"On Jan 16, 2025",63° to 64°,no
"On Jan 16, 2025",65° to 66°,yes
"On Jan 16, 2025",67° to 68°,no
"On Jan 16, 2025",69° or above,no
"On Jan 17, 2025",62° or below,yes
"On Jan 17, 2025",63° to 64°,no
"On Jan 17, 2025",65° to 66°,no
"On Jan 17, 2025",67° to 68°,no
"On Jan 17, 2025",69° to 70°,no
"On Jan 17, 2025",71° or above,no
"On Jan 18, 2025",56° or below,no
"On Jan 18, 2025",57° to 58°,no
"On Jan 18, 2025",59° to 60°,no
"On Jan 18, 2025",61° to 62°,yes
"On Jan 18, 2025",63° to 64°,no
"On Jan 18, 2025",65° or above,no
"On Jan 19, 2025",39° or below,no
"On Jan 19, 2025",40° to 41°,no
"On Jan 19, 2025",42° to 43°,yes
"On Jan 19, 2025",44° to 45°,no
"On Jan 19, 2025",46° to 47°,no
"On Jan 19, 2025",48° or above,no
"On Jan 20, 2025",34° or below,yes
"On Jan 20, 2025",35° to 36°,no
"On Jan 20, 2025",37° to 38°,no
"On Jan 20, 2025",39° to 40°,no
"On Jan 20, 2025",41° to 42°,no
"On Jan 20, 2025",43° or above,no
"On Jan 21, 2025",32° or below,no
"On Jan 21, 2025",33° to 34°,no
"On Jan 21, 2025",35° to 36°,no
"On Jan 21, 2025",37° to 38°,yes
"On Jan 21, 2025",39° to 40°,no
"On Jan 21, 2025",41° or above,no
"On Jan 22, 2025",44° or below,no
"On Jan 22, 2025",45° to 46°,no
"On Jan 22, 2025",47° to 48°,no
"On Jan 22, 2025",49° to 50°,no
"On Jan 22, 2025",51° to 52°,yes
"On Jan 22, 2025",53° or above,no
"On Jan 23, 2025",48° or below,no
"On Jan 23, 2025",49° to 50°,no
"On Jan 23, 2025",51° to 52°,no
"On Jan 23, 2025",53° to 54°,no
"On Jan 23, 2025",55° to 56°,yes
"On Jan 23, 2025",57° or above,no
"On Jan 24, 2025",52° or below,no
"On Jan 24, 2025",53° to 54°,no
"On Jan 24, 2025",55° to 56°,no
"On Jan 24, 2025",57° to 58°,no
"On Jan 24, 2025",59° to 60°,yes
"On Jan 24, 2025",61° or above,no
"On Jan 25, 2025",54° or below,no
"On Jan 25, 2025",55° to 56°,no
"On Jan 25, 2025",57° to 58°,no
"On Jan 25, 2025",59° to 60°,yes
"On Jan 25, 2025",61° to 62°,no
"On Jan 25, 2025",63° or above,no
"On Jan 26, 2025",48° or below,no
"On Jan 26, 2025",49° to 50°,no
"On Jan 26, 2025",51° to 52°,no
"On Jan 26, 2025",53° to 54°,no
"On Jan 26, 2025",55° to 56°,yes
"On Jan 26, 2025",57° or above,no
"On Jan 27, 2025",48° or below,no
"On Jan 27, 2025",49° to 50°,no
"On Jan 27, 2025",51° to 52°,no
"On Jan 27, 2025",53° to 54°,yes
"On Jan 27, 2025",55° to 56°,no
"On Jan 27, 2025",57° or above,no
"On Jan 28, 2025",53° or below,yes
"On Jan 28, 2025",54° to 55°,no
"On Jan 28, 2025",56° to 57°,no
"On Jan 28, 2025",58° to 59°,no
"On Jan 28, 2025",60° to 61°,no
"On Jan 28, 2025",62° or above,no
"On Jan 29, 2025",64° or below,no
"On Jan 29, 2025",65° to 66°,no
"On Jan 29, 2025",67° to 68°,no
"On Jan 29, 2025",69° to 70°,no
"On Jan 29, 2025",71° to 72°,yes
"On Jan 29, 2025",73° or above,no
"On Jan 30, 2025",66° or below,no
"On Jan 30, 2025",67° to 68°,no
"On Jan 30, 2025",69° to 70°,yes
"On Jan 30, 2025",71° to 72°,no
"On Jan 30, 2025",73° to 74°,no
"On Jan 30, 2025",75° or above,no
"On Jan 31, 2025",66° or below,no
"On Jan 31, 2025",67° to 68°,no
"On Jan 31, 2025",69° to 70°,no
"On Jan 31, 2025",71° to 72°,no
"On Jan 31, 2025",73° to 74°,yes
"On Jan 31, 2025",75° or above,no
"On Feb 1, 2025",67° or below,no
"On Feb 1, 2025",68° to 69°,no
"On Feb 1, 2025",70° to 71°,no
"On Feb 1, 2025",72° to 73°,no
"On Feb 1, 2025",74° to 75°,no
"On Feb 1, 2025",76° or above,yes
"On Feb 2, 2025",73° or below,no
"On Feb 2, 2025",74° to 75°,no
"On Feb 2, 2025",76° to 77°,no
"On Feb 2, 2025",78° to 79°,no
"On Feb 2, 2025",80° to 81°,yes
"On Feb 2, 2025",82° or above,no
"On Feb 3, 2025",75° or below,no
"On Feb 3, 2025",76° to 77°,no
"On Feb 3, 2025",78° to 79°,no
"On Feb 3, 2025",80° to 81°,no
"On Feb 3, 2025",82° to 83°,no
"On Feb 3, 2025",84° or above,yes
"On Feb 4, 2025",75° or below,no
"On Feb 4, 2025",76° to 77°,no
"On Feb 4, 2025",78° to 79°,no
"On Feb 4, 2025",80° to 81°,no
"On Feb 4, 2025",82° to 83°,yes
"On Feb 4, 2025",84° or above,no
"On Feb 5, 2025",75° or below,no
"On Feb 5, 2025",76° to 77°,no
"On Feb 5, 2025",78° to 79°,yes
"On Feb 5, 2025",80° to 81°,no
"On Feb 5, 2025",82° to 83°,no
"On Feb 5, 2025",84° or above,no
"On Feb 6, 2025",75° or below,no
"On Feb 6, 2025",76° to 77°,no
"On Feb 6, 2025",78° to 79°,no
"On Feb 6, 2025",80° to 81°,no
"On Feb 6, 2025",82° to 83°,yes
"On Feb 6, 2025",84° or above,no
"On Feb 7, 2025",77° or below,no
"On Feb 7, 2025",78° to 79°,no
"On Feb 7, 2025",80° to 81°,yes
"On Feb 7, 2025",82° to 83°,no
"On Feb 7, 2025",84° to 85°,no
"On Feb 7, 2025",86° or above,no
"On Feb 8, 2025",81° or below,no
"On Feb 8, 2025",82° to 83°,no
"On Feb 8, 2025",84° to 85°,no
"On Feb 8, 2025",86° to 87°,no
"On Feb 8, 2025",88° to 89°,yes
"On Feb 8, 2025",90° or above,no
"On Feb 9, 2025",63° or below,no
"On Feb 9, 2025",64° to 65°,no
"On Feb 9, 2025",66° to 67°,no
"On Feb 9, 2025",68° to 69°,no
"On Feb 9, 2025",70° to 71°,yes
"On Feb 9, 2025",72° or above,no
"On Feb 10, 2025",54° or below,yes
"On Feb 10, 2025",55° to 56°,no
"On Feb 10, 2025",57° to 58°,no
"On Feb 10, 2025",59° to 60°,no
"On Feb 10, 2025",61° to 62°,no
"On Feb 10, 2025",63° or above,no
"On Feb 11, 2025",58° or below,yes
"On Feb 11, 2025",59° to 60°,no
"On Feb 11, 2025",61° to 62°,no
"On Feb 11, 2025",63° to 64°,no
"On Feb 11, 2025",65° to 66°,no
"On Feb 11, 2025",67° or above,no
"On Feb 12, 2025",75° or below,yes
"On Feb 12, 2025",76° to 77°,no
"On Feb 12, 2025",78° to 79°,no
"On Feb 12, 2025",80° to 81°,no
"On Feb 12, 2025",82° to 83°,no
"On Feb 12, 2025",84° or above,no
"On Feb 13, 2025",43° or below,no
"On Feb 13, 2025",44° to 45°,no
"On Feb 13, 2025",46° to 47°,yes
"On Feb 13, 2025",48° to 49°,no
"On Feb 13, 2025",50° to 51°,no
"On Feb 13, 2025",52° or above,no
"On Feb 14, 2025",48° or below,yes
"On Feb 14, 2025",49° to 50°,no
"On Feb 14, 2025",51° to 52°,no
"On Feb 14, 2025",53° to 54°,no
"On Feb 14, 2025",55° to 56°,no
"On Feb 14, 2025",57° or above,no
"On Feb 15, 2025",71° or below,no
"On Feb 15, 2025",72° to 73°,yes
"On Feb 15, 2025",74° to 75°,no
"On Feb 15, 2025",76° to 77°,no
"On Feb 15, 2025",78° to 79°,no
"On Feb 15, 2025",80° or above,no
"On Feb 16, 2025",49° or below,no
"On Feb 16, 2025",50° to 51°,no
"On Feb 16, 2025",52° to 53°,no
"On Feb 16, 2025",54° to 55°,no
"On Feb 16, 2025",56° to 57°,yes
"On Feb 16, 2025",58° or above,no
"On Feb 17, 2025",58° or below,no
"On Feb 17, 2025",59° to 60°,no
"On Feb 17, 2025",61° to 62°,no
"On Feb 17, 2025",63° to 64°,yes
"On Feb 17, 2025",65° to 66°,no
"On Feb 17, 2025",67° or above,no
"On Feb 18, 2025",60° or below,no
"On Feb 18, 2025",61° to 62°,yes
"On Feb 18, 2025",63° to 64°,no
"On Feb 18, 2025",65° to 66°,no
"On Feb 18, 2025",67° to 68°,no
"On Feb 18, 2025",69° or above,no
"On Feb 19, 2025",35° or below,yes
"On Feb 19, 2025",36° to 37°,no
"On Feb 19, 2025",38° to 39°,no
"On Feb 19, 2025",40° to 41°,no
"On Feb 19, 2025",42° to 43°,no
"On Feb 19, 2025",44° or above,no
"On Feb 20, 2025",35° or below,no
"On Feb 20, 2025",36° to 37°,yes
"On Feb 20, 2025",38° to 39°,no
"On Feb 20, 2025",40° to 41°,no
"On Feb 20, 2025",42° to 43°,no
"On Feb 20, 2025",44° or above,no
"On Feb 21, 2025",31° or below,no
"On Feb 21, 2025",32° to 33°,no
"On Feb 21, 2025",34° to 35°,no
